Image,Registration Status,X,Y,Z
0,success,0,-0.978470148,6.938249054
1,success,2.353096579,-0.978470148,0.001431444
2,success,2.353096579,-0.57270004,6.693545565
3,success,1.909093368,-0.57270004,-0.464196591
4,success,1.909093368,-0.739712563,5.773897566
5,success,0.443624776,-0.739712563,-1.050976583
6,success,0.443624776,-1.453715497,4.733937894
7,success,-1.7841219,-1.453715497,-1.648685861
8,success,-1.7841219,-2.552050773,3.476255808
9,success,-3.85211618,-2.552050773,-2.58436809
10,success,-3.85211618,-3.398871121,2.409490155
11,success,-4.883244649,-3.398871121,-3.514143934
12,success,-4.883244649,-3.894327295,1.563950788
13,success,-5.108232897,-3.894327295,-4.081262305
14,success,-5.108232897,-3.937973931,1.289408632
15,success,-5.061317413,-3.937973931,-4.042991387
16,success,-5.061317413,-3.698594969,1.644204382
17,success,-4.812964634,-3.698594969,-3.383078245
18,success,-4.812964634,-3.248094185,2.527327685
19,success,-4.009055548,-3.248094185,-2.407669736
20,success,-4.009055548,-2.593604178,3.659085394
21,success,-2.250162933,-2.593604178,-1.337834485
22,success,-2.250162933,-1.667335608,4.982549104
23,success,-0.185364636,-1.667335608,-0.602930993
24,success,-0.185364636,-0.920628946,5.947229792
25,success,0.511468195,-0.920628946,-0.350166052
26,success,0.511468195,-1.058273942,5.824429629
27,success,-0.860340489,-1.058273942,-0.620298714
28,success,-0.860340489,-1.979633422,4.767004749
29,success,-3.111984033,-1.979633422,-1.368182004
30,success,-3.111984033,-2.790076736,3.519876856
31,success,-4.665148674,-2.790076736,-2.453184464
32,success,-4.665148674,-3.341572992,2.453183696
33,success,-5.229196345,-3.341572992,-3.371118604
34,success,-5.229196345,-3.671072998,1.628944838
35,success,-5.398829727,-3.671072998,-4.05628647
36,success,-5.398829727,-3.892561724,1.071421461
37,success,-5.481969602,-3.892561724,-4.481469966
38,success,-5.481969602,-4.062560926,0.745986502
39,success,-5.48612554,-4.062560926,-4.652369868
40,success,-5.48612554,-4.054303284,0.71392265
41,success,-5.42214075,-4.054303284,-4.526065072
42,success,-5.42214075,-3.835308909,1.065690655
43,success,-5.293395195,-3.835308909,-3.966423484
44,success,-5.293395195,-3.482922815,1.914191703
45,success,-5.049806641,-3.482922815,-2.869609935
46,success,-5.049806641,-3.029995147,3.13881185
47,success,-4.780891205,-3.029995147,-1.535832367
48,success,-4.780891205,-2.674553165,4.310878384
49,success,-4.709009509,-2.674553165,-0.90116022
50,success,-4.709009509,-2.766263517,4.384142428
51,success,-4.883674346,-2.766263517,-1.353775873
52,success,-4.883674346,-3.187051136,3.454450478
53,success,-5.131058837,-3.187051136,-2.443069072
54,success,-5.131058837,-3.575571415,2.451551163
55,success,-5.254496111,-3.575571415,-3.363649905
56,success,-5.254496111,-3.8976498,1.658136773
57,success,-5.315971708,-3.8976498,-4.065927469
58,success,-5.315971708,-4.148737439,1.087995469
59,success,-5.395563129,-4.148737439,-4.555571631
60,success,-5.395563129,-4.364299944,0.619018109
61,success,-5.479252739,-4.364299944,-4.948390429
62,success,-5.479252739,-4.502033028,0.271493044
63,success,-5.531553095,-4.502033028,-5.269489054
64,success,-5.531553095,-4.601188296,-0.009085886
65,success,-5.577114402,-4.601188296,-5.523401511
66,success,-5.577114402,-4.662430666,-0.207942829
67,success,-5.593990583,-4.662430666,-5.667332215
68,success,-5.593990583,-4.614693283,-0.256144045
69,success,-5.532760591,-4.614693283,-5.561396489
70,success,-5.532760591,-4.318503695,0.055532821
71,success,-5.370498056,-4.318503695,-4.918892074
72,success,-5.370498056,-3.6902158,1.066844986
73,success,-5.092705932,-3.6902158,-3.607279351
74,success,-5.092705932,-2.951908301,2.542376271
75,success,-4.667055705,-2.951908301,-2.018416247
76,success,-4.667055705,-2.35572872,4.205386649
77,success,-4.176275641,-2.35572872,-0.603867927
78,success,-4.176275641,-2.135786807,5.182355061
79,success,-3.983927491,-2.135786807,-0.195041498
80,success,-3.983927491,-2.289245287,5.040746367
81,success,-4.203025195,-2.289245287,-0.810524086
82,success,-4.203025195,-2.72248044,4.082524732
83,success,-4.594007091,-2.72248044,-1.928186894
84,success,-4.594007091,-3.287930428,2.955565854
85,success,-4.916628027,-3.287930428,-2.835802344
86,success,-4.916628027,-3.67049563,2.262838797
87,success,-5.077381175,-3.67049563,-3.478278213
88,success,-5.077381175,-3.922202299,1.641703976
89,success,-5.142399262,-3.922202299,-4.077179973
90,success,-5.142399262,-4.074275598,1.11640536
91,success,-5.124468188,-4.074275598,-4.487149563
92,success,-5.124468188,-4.060942981,0.913817135
93,success,-4.992191123,-4.060942981,-4.342793515
94,success,-4.992191123,-3.748200126,1.473509911
