Image,Registration Status,X,Y,Z
0,success,0.0,-0.6875975302024251,-2.5952934457214836
1,success,-0.2538458803890653,-0.6875975302024251,-2.806734703632518
2,success,-0.2538458803890653,-0.8311745758267305,-3.290534572649945
3,success,-0.342359572410497,-0.8311745758267305,-3.6748209327544497
4,success,-0.342359572410497,-1.0512566735280964,-4.37491589559998
5,success,-0.4790382183141659,-1.0512566735280964,-4.814812183779137
6,success,-0.4790382183141659,-1.1733967234158342,-5.469959125322009
7,success,-0.6113301753599281,-1.1733967234158342,-5.94099078660621
8,success,-0.6113301753599281,-1.4024182536471657,-6.517264571033259
9,success,-0.6974899901909182,-1.4024182536471657,-6.743964403636243
10,success,-0.6974899901909182,-1.5554860589876245,-7.094769640495012
11,success,-0.745384742768485,-1.5554860589876245,-7.0036148917432
12,success,-0.745384742768485,-1.529537643603543,-7.031643093439487
13,success,-0.7389146215800433,-1.529537643603543,-6.640904496494357
14,success,-0.7389146215800433,-1.3233140825177752,-6.333609315860124
15,success,-0.6803532179528393,-1.3233140825177752,-5.748350930556387
16,success,-0.6803532179528393,-1.058827165257754,-5.213884627012219
17,success,-0.5817822809371044,-1.058827165257754,-4.543001607506963
18,success,-0.5817822809371044,-0.8452327779326627,-4.000795014942445
19,success,-0.4835566690143218,-0.8452327779326627,-3.305841816691294
20,success,-0.4835566690143218,-0.48228588133211564,-2.7341884639427656
21,success,-0.40004707487694235,-0.48228588133211564,-2.254451861685956
22,success,-0.40004707487694235,-0.32445442449029127,-1.88858771563347
23,success,-0.3033337939405103,-0.32445442449029127,-1.5486393651691939
24,success,-0.3033337939405103,-0.2554864288722754,-1.4458021206297427
25,success,-0.2825798257465923,-0.2554864288722754,-1.2995225469770264
26,success,-0.2825798257465923,-0.2502692233149869,-1.4433009847368166
27,success,-0.3480716431741995,-0.2502692233149869,-1.5531352075829283
28,success,-0.3480716431741995,-0.3108825323850044,-1.884642087290358
29,success,-0.48397953484774914,-0.3108825323850044,-2.2530052900193587
30,success,-0.48397953484774914,-0.4612107608536797,-2.6929764418028608
31,success,-0.6020111666848501,-0.4612107608536797,-3.2357384492179833
32,success,-0.6020111666848501,-0.8043348748628026,-3.810440755018666
33,success,-0.7125352664204461,-0.8043348748628026,-4.261211489657981
34,success,-0.7125352664204461,-1.0226636759491714,-4.748112989530735
35,success,-0.8144726588931709,-1.0226636759491714,-5.051052948876162
36,success,-0.8144726588931709,-1.108387665504999,-5.305143790013713
37,success,-0.8527050917291459,-1.108387665504999,-5.385982621516503
38,success,-0.8527050917291459,-1.1428976428732809,-5.374400748499319
39,success,-0.8362076432221364,-1.1428976428732809,-5.180024481172933
40,success,-0.8362076432221364,-1.1144454653194913,-4.940908654722948
41,success,-0.7666103530643231,-1.1144454653194913,-4.523849293085125
42,success,-0.7666103530643231,-0.9921950389342951,-4.1481265245941845
43,success,-0.6791558083794212,-0.9921950389342951,-3.6098949816288792
44,success,-0.6791558083794212,-0.7116975358347204,-3.1259831176059296
45,success,-0.5850636564677839,-0.7116975358347204,-2.6487427018683554
46,success,-0.5850636564677839,-0.5154325193969206,-2.194558192072305
47,success,-0.45568434405304675,-0.5154325193969206,-1.796481835621759
48,success,-0.45568434405304675,-0.4273902538638906,-1.504726575905062
49,success,-0.3266757627366339,-0.4273902538638906,-1.1264055615000828
50,success,-0.3266757627366339,-0.3286959279859604,-0.9589301622900552
51,success,-0.2186739988585215,-0.3286959279859604,-0.6454062288280085
52,success,-0.2186739988585215,-0.2426180233940729,-0.5479809792940974
53,success,-0.13795821355042423,-0.2426180233940729,-0.3178668487020526
54,success,-0.13795821355042423,-0.1550147118511795,-0.26117566224356475
55,success,-0.0761692814703088,-0.1550147118511795,-0.10250933725375669
56,success,-0.0761692814703088,-0.06993596272453814,-0.07309816968548918
57,success,-0.029186868526242023,-0.06993596272453814,-0.0034471214247558195
58,success,-0.029186868526242023,0.0,0.0
