X,Y,Z
-0.233988599,-0.355247954,-0.241618725
-0.275842604,-0.39503899,-0.517220429
-0.335160859,-0.454048862,-0.912830168
-0.408086209,-0.530793436,-1.407393661
-0.48993675,-0.622210016,-1.972964994
-0.575638303,-0.72374891,-2.575264259
-0.659988137,-0.829324582,-3.175991317
-0.737964175,-0.930964543,-3.734772098
-0.805053047,-1.019782504,-4.211795945
-0.857662987,-1.087098412,-4.571789445
-0.893283156,-1.125528295,-4.787279717
-0.910383552,-1.130093566,-4.84137451
-0.908484696,-1.099042633,-4.729156498
-0.888133874,-1.034052173,-4.458075479
-0.850797583,-0.938948801,-4.046948862
-0.798784984,-0.820014882,-3.523429287
-0.735084456,-0.685935814,-2.92087914
-0.663087051,-0.545636884,-2.274874245
-0.586727756,-0.407217786,-1.620586107
-0.510414415,-0.277437307,-0.990456436
-0.438374041,-0.161363095,-0.411488788
-0.374639677,-0.062095205,0.093658521
-0.32314078,0.018230123,0.505306095
-0.287311541,0.077641167,0.808824504
-0.269695803,0.114960415,0.994483433
-0.271773606,0.129734383,1.056015668
-0.293869474,0.121520326,0.991116975
-0.334997837,0.089693574,0.802365456
-0.392853074,0.034377932,0.498504289
-0.46395602,-0.042691577,0.094760049
-0.543857286,-0.138463252,-0.386941593
-0.627453188,-0.248276102,-0.917067477
-0.7095726,-0.365448542,-1.460717733
-0.785261142,-0.481926109,-1.980459992
-0.850052388,-0.589072916,-2.438867702
-0.90057049,-0.678541193,-2.802754519
-0.934650649,-0.743304678,-3.046230993
-0.951240053,-0.778522007,-3.15271853
-0.950436638,-0.782104123,-3.117108147
-0.933295431,-0.754890562,-2.945623488
-0.901550362,-0.700415691,-2.654337242
-0.857413322,-0.624325244,-2.267241786
-0.803279332,-0.533733163,-1.81262499
-0.741519403,-0.436329825,-1.319922786
-0.674363304,-0.33936042,-0.817176852
-0.603805398,-0.248800317,-0.32797671
-0.531677817,-0.168671056,0.129515279
-0.459433665,-0.100977631,0.54315042
-0.388214166,-0.045844353,0.907215937
-0.319145524,-0.001882564,1.219991418
-0.253167746,0.033117497,1.483661791
-0.191045677,0.062275064,1.703650536
-0.133437153,0.088974788,1.885694501
-0.08098827,0.115932404,2.034875265
-0.034387908,0.144795797,2.154820232
0.005767188,0.176002258,2.247883558
0.03899283,0.209155033,2.315195247
0.064946968,0.242832058,2.356619821
0.083463905,0.274762405,2.371643662
0.094544156,0.302420795,2.359581566
0.098492172,0.323335629,2.320209872
0.096041842,0.335432075,2.25434783
0.088196143,0.337325602,2.163819954
0.076458651,0.328482921,2.052644672
0.062950988,0.309638546,1.927044206
0.05005291,0.282843669,1.794496367
0.040026354,0.251094163,1.664352642
0.034840749,0.217860809,1.54685596
0.036098111,0.186696632,1.451393763
0.044416686,0.160983048,1.386126258
0.05920517,0.143720239,1.356773251
0.07876417,0.137209289,1.365277966
0.099886333,0.142676508,1.408680328
0.118027953,0.159852157,1.478822682
0.127887718,0.187042784,1.562914569
0.124090535,0.221470322,1.643123742
0.101833924,0.258668807,1.69734259
0.057365135,0.292813988,1.701288544
-0.010960596,0.317595704,1.630244028
-0.102190872,0.326450735,1.460871567
-0.212838313,0.312883317,1.173145393
-0.337292975,0.271103485,0.753772232
-0.468374246,0.197494221,0.198657242
-0.597819803,0.091225223,-0.486599137
-0.717300007,-0.045779833,-1.284929209
-0.819529848,-0.208319714,-2.16788648
-0.899241618,-0.387959163,-3.097936127
-0.953408867,-0.573581549,-4.029870489
-0.981325662,-0.752370151,-4.913990382
-0.984664571,-0.911129151,-5.701411306
-0.966555041,-1.037745906,-6.347316279
-0.930661592,-1.122592165,-6.814486886
-0.880784416,-1.159605087,-7.07815734
-0.820133174,-1.147246335,-7.127120636
-0.750736768,-1.08860879,-6.964062418
-0.673233001,-0.990718954,-6.606160393
-0.587573961,-0.863411322,-6.082294027
-0.493869945,-0.718102247,-5.430183967
-0.392431422,-0.566541622,-4.693351316
-0.284466791,-0.419596708,-3.918178974
-0.172827817,-0.286955623,-3.151690296
-0.061677036,-0.176493083,-2.437292649
0.043872091,-0.093332956,-1.81348092
0.138111939,-0.040178859,-1.313847528
0.215404971,-0.018326385,-0.96427141
0.270896039,-0.027580072,-0.780854392
0.301454138,-0.066022556,-0.770070889
0.305821891,-0.130673499,-0.928563329
0.284796919,-0.217693098,-1.241546372
0.241296294,-0.321907584,-1.68278051
0.179972908,-0.436485759,-2.217158267
0.106717973,-0.553808864,-2.802512407
0.027759912,-0.665850368,-3.391327923
-0.050973491,-0.764123554,-3.935698498
-0.123995187,-0.840710734,-4.39138298
-0.186399397,-0.8890179,-4.720975391
-0.234462744,-0.904495218,-4.898445984
-0.265762361,-0.885317845,-4.910834723
-0.278837503,-0.832498723,-4.758453982
-0.273316772,-0.749661667,-4.455151597
-0.249717156,-0.642469752,-4.025125837
-0.209161404,-0.517826623,-3.499315402
-0.153541129,-0.383013882,-2.912789689
-0.085436819,-0.24493403,-2.300119582
-0.007978236,-0.109504425,-1.692301473
0.075698605,0.01872537,-1.115239452
0.162348006,0.136730943,-0.587495402
0.248428724,0.242810535,-0.120924972
0.330572134,0.336101654,0.278907928
0.405626426,0.416822645,0.612206331
0.470706976,0.485732928,0.881825209
0.52330132,0.543298427,1.09257172
0.561313246,0.589718887,1.250037899
0.583121373,0.624927838,1.359228409
0.587841641,0.64886785,1.423907361
0.575419769,0.661205798,1.445858863
0.546584839,0.66147835,1.426548455
0.50278108,0.649662594,1.367465651
0.446224247,0.626115804,1.270719811
0.379985331,0.591641596,1.140161419
0.307647083,0.547592038,0.980886504
0.233192592,0.495826636,0.800386783
0.160833719,0.438685825,0.608745569
0.094379773,0.378899548,0.417207231
0.037135744,0.319226199,0.238545292
-0.008099152,0.262465984,0.085886655
-0.039197303,0.211477286,-0.029637967
-0.054900904,0.168800339,-0.098530548
-0.05491434,0.136565923,-0.11388772
-0.039876725,0.11640037,-0.073438034
-0.011309423,0.109307673,0.021725851
0.028629989,0.115634502,0.167221035
0.077229569,0.135091952,0.354634832
0.13132656,0.166818578,0.574126812
0.187430743,0.209416474,0.81543677
0.242209229,0.261009849,1.067663711
0.292920079,0.31934141,1.321341903
0.337432539,0.381630484,1.568860694
0.374409222,0.444630115,1.804039553
0.40355819,0.505119601,2.023016114
0.425642991,0.560285187,2.223398921
0.44234992,0.607739869,2.403667352
0.455819241,0.645615351,2.563857315
0.468251815,0.672826749,2.70420922
0.481693283,0.689220583,2.824655183
0.497533504,0.69563981,2.925864871
0.516179515,0.693856365,3.008729825
0.536946468,0.686375206,3.073703448
0.558046665,0.676082806,3.121304963
0.576902136,0.665616025,3.152273461
