Image,Registration Status,X,Y,Z
0,success,0,-0.389979895,-1.093413482
1,success,-1.923160855,-0.389979895,0.406348419
2,success,-1.923160855,0.205702389,-0.673899312
3,success,-2.937805937,0.205702389,0.607551298
4,success,-2.937805937,1.169514556,-0.212785951
5,success,-3.1361805,1.169514556,0.836746008
6,success,-3.1361805,1.858228033,0.050268235
7,success,-2.63039263,1.858228033,1.195450902
8,success,-2.63039263,1.602110192,0.310792481
9,success,-1.865714152,1.602110192,1.657459684
10,success,-1.865714152,0.749847462,0.721780855
11,success,-0.736108999,0.749847462,2.470723354
12,success,-0.736108999,-0.489170783,1.378847335
13,success,1.119651659,-0.489170783,3.423345276
14,success,1.119651659,-1.310163564,1.789037436
15,success,3.152098175,-1.310163564,4.132012546
16,success,3.152098175,-1.330419016,1.812631053
17,success,4.408042041,-1.330419016,4.35193617
18,success,4.408042041,-1.152523009,1.739337037
19,success,4.281639787,-1.152523009,4.155914261
20,success,4.281639787,-1.270244203,1.484069583
21,success,3.162019137,-1.270244203,3.721504917
22,success,3.162019137,-1.368615644,1.335681671
23,success,1.903536055,-1.368615644,3.255360901
24,success,1.903536055,-1.368609462,1.225292697
25,success,0.674513904,-1.368609462,2.86236239
26,success,0.674513904,-1.499528643,1.010700686
27,success,-0.695267248,-1.499528643,2.389927527
28,success,-0.695267248,-1.618911029,0.574204251
29,success,-1.999688363,-1.618911029,1.7991644
30,success,-1.999688363,-1.566902463,0.217596398
31,success,-2.839712009,-1.566902463,1.389735048
32,success,-2.839712009,-1.402345511,0.131617332
33,success,-3.152367389,-1.402345511,1.308078835
34,success,-3.152367389,-1.160682915,0.168915163
35,success,-3.139230937,-1.160682915,1.23337044
36,success,-3.139230937,-0.828518716,-0.055257708
37,success,-2.867073604,-0.828518716,0.842580761
38,success,-2.867073604,-0.564670664,-0.609693458
39,success,-2.207657258,-0.564670664,0.514547477
40,success,-2.207657258,-0.807295323,-0.764248149
41,success,-1.051720093,-0.807295323,0.997056266
42,success,-1.051720093,-1.64414976,-0.096046633
43,success,0.416395556,-1.64414976,2.093398389
44,success,0.416395556,-2.502735027,0.690356148
45,success,1.666740451,-2.502735027,2.884478368
46,success,1.666740451,-2.507177375,0.891010221
47,success,1.942164031,-2.507177375,2.875770328
48,success,1.942164031,-2.091246528,0.712401878
49,success,0.842378361,-2.091246528,2.433162503
50,success,0.842378361,-1.615023418,0.54277403
51,success,-0.833649202,-1.615023418,2.000103636
52,success,-0.833649202,-1.260020426,0.332291591
53,success,-1.849824278,-1.260020426,1.612371011
54,success,-1.849824278,-1.055041196,0.047310141
55,success,-1.910444955,-1.055041196,1.214502872
56,success,-1.910444955,-0.736921015,-0.353840277
57,success,-1.460560817,-0.736921015,0.846699752
58,success,-1.460560817,-0.436292738,-0.772191369
59,success,-0.911955675,-0.436292738,0.497986259
60,success,-0.911955675,-0.533656866,-1.131410461
61,success,-0.528965589,-0.533656866,0.27304104
62,success,-0.528965589,-0.814943099,-1.273023351
63,success,-0.647829896,-0.814943099,0.298643751
64,success,-0.647829896,-0.890830479,-1.116044864
65,success,-1.211511593,-0.890830479,0.47989104
66,success,-1.211511593,-0.751313184,-0.867055907
67,success,-1.63181337,-0.751313184,0.615058835
68,success,-1.63181337,-0.618804758,-0.723218868
69,success,-1.537561439,-0.618804758,0.750410029
70,success,-1.537561439,-0.514122915,-0.524182469
71,success,-1.013252438,-0.514122915,1.138881839
72,success,-1.013252438,-0.442687156,-0.008867697
73,success,0.051353825,-0.442687156,1.931272109
74,success,0.051353825,-0.699014519,0.795816671
75,success,1.584304415,-0.699014519,2.97138798
76,success,1.584304415,-1.206509022,1.307770039
77,success,2.679057296,-1.206509022,3.567588743
78,success,2.679057296,-1.662581913,1.340200759
79,success,2.432147814,-1.662581913,3.448305349
80,success,2.432147814,-1.594271001,1.228013594
81,success,0.953851004,-1.594271001,2.902041903
82,success,0.953851004,-0.95331486,0.955326994
83,success,-0.748142316,-0.95331486,2.135211435
