X,Y,Z
-1.097275193,5.70426443,2.285408302
-1.071651111,5.692162767,2.161535386
-1.040597504,5.693013292,2.198040624
-1.012719145,5.716178349,2.545683847
-0.996917531,5.762028186,3.261832434
-1.007484429,5.825937143,4.290218402
-1.066111061,5.905690759,5.513464148
-1.190990199,6.002706076,6.823041632
-1.379898612,6.112155601,8.127491042
-1.595764581,6.215739891,9.278349419
-1.77808919,6.285702135,10.00853583
-1.871594851,6.297882477,10.01967269
-1.850350039,6.2435792,9.204490562
-1.726681652,6.13177104,7.790258602
-1.541555923,5.986925455,6.216559873
-1.348910265,5.842174901,4.851451696
-1.194785325,5.727991767,3.82649461
-1.098739312,5.659147697,3.096948939
-1.050194442,5.629966392,2.597143489
-1.023024517,5.625458973,2.332975803
-1.00111983,5.636998172,2.372995519
-0.990118564,5.668169813,2.78518802
-1.007441434,5.724774031,3.574824762
-1.064883968,5.802815472,4.663679086
-1.160298945,5.889701123,5.918206513
-1.281868997,5.973770113,7.188295277
-1.413245382,6.046029657,8.303986723
-1.528435762,6.093408321,9.036205011
-1.591140591,6.097765051,9.12557871
-1.571940782,6.048069499,8.44687885
-1.470516074,5.955616297,7.16801035
-1.322536947,5.850455208,5.690846422
-1.177997186,5.760456621,4.394987555
-1.072139388,5.695140018,3.437401422
-1.013973461,5.649626823,2.772197699
-0.99415391,5.618931499,2.296633177
-0.997788067,5.602789599,1.961298172
-1.00751824,5.601255528,1.796970269
-1.007494703,5.612374945,1.883581011
-0.993673777,5.636444338,2.294354675
-0.978756648,5.679142478,3.043844687
-0.984114674,5.745191313,4.072357719
-1.022728994,5.828432346,5.255570632
-1.090342284,5.911508383,6.392554518
-1.171181275,5.973877542,7.197394218
-1.245224327,5.999796912,7.38619908
-1.291829558,5.981487665,6.859122742
-1.295061896,5.919852811,5.805731856
-1.253537359,5.827738493,4.590376829
-1.186783669,5.728437505,3.521097713
-1.124345887,5.644473067,2.71993164
-1.083770645,5.583729195,2.164052367
-1.058994421,5.538939984,1.794723086
-1.032441692,5.502939852,1.591968035
-0.997104631,5.482823563,1.593497224
-0.964405315,5.496812323,1.868999455
-0.953125964,5.555981807,2.466899612
-0.97569108,5.6525629,3.368881806
-1.035146168,5.765807113,4.484688149
-1.128949142,5.875231486,5.681522213
-1.248596503,5.965382775,6.811819657
-1.371448451,6.023898493,7.711987832
-1.46247535,6.041574994,8.194476448
-1.49224509,6.015997845,8.09498327
-1.45536554,5.953487406,7.381813242
-1.373406801,5.863927821,6.230427743
-1.278335969,5.758022556,4.95375408
-1.196116691,5.650065449,3.827121296
-1.141338167,5.559008296,2.968737264
-1.117656467,5.501266492,2.359654268
-1.117901593,5.478646936,1.934750217
-1.124191341,5.477270926,1.64973261
-1.118598379,5.481596807,1.505126566
-1.098041307,5.489339552,1.545906033
-1.076557743,5.510692849,1.830439922
-1.071701033,5.554323777,2.382059862
-1.089203065,5.617730541,3.164395021
-1.125776844,5.690553912,4.1015094
-1.181852788,5.765124588,5.116139471
-1.268015538,5.840235823,6.151528181
-1.397789613,5.91648719,7.178582394
-1.571371756,5.992711462,8.187813548
-1.76791525,6.06532092,9.139289768
-1.946373833,6.127237858,9.886688794
-2.056895908,6.163459329,10.17638619
-2.061708877,6.152515289,9.802093348
-1.955295694,6.081010884,8.79696988
-1.770930676,5.958857297,7.448244665
-1.561843899,5.817828862,6.10586708
-1.372215777,5.690961856,4.984571277
-1.219434001,5.593736981,4.12715803
-1.10184861,5.524298343,3.482987457
-1.019281185,5.477562819,2.988236382
-0.977020551,5.454736319,2.603761202
-0.975409076,5.45621864,2.314718116
-0.999722104,5.473561363,2.108743993
-1.026735616,5.49359717,1.96824091
-1.042284261,5.508783235,1.898820001
-1.047536581,5.521697085,1.954070179
-1.050672527,5.538533233,2.212236891
-1.056809255,5.56319129,2.719314274
-1.071675822,5.598048013,3.457436411
-1.107595499,5.647058927,4.362914733
-1.179919304,5.7129723,5.360904662
-1.295569806,5.791862444,6.383124385
-1.445115393,5.874558018,7.369673015
-1.60801375,5.95128266,8.258869327
-1.758239281,6.012986786,8.943426345
-1.866603161,6.045895763,9.233507293
-1.90311973,6.030870267,8.935548257
-1.847341972,5.957376059,8.026277638
-1.706261246,5.837924198,6.730102977
-1.517679231,5.705131095,5.388035103
-1.33330711,5.590210385,4.258479407
-1.19216718,5.505444456,3.436876219
-1.106432385,5.447230973,2.893741991
-1.06860047,5.411491524,2.543810628
-1.063259727,5.401538802,2.303923582
-1.074370665,5.417377984,2.130114016
-1.085296952,5.446079838,2.014586129
-1.082971962,5.468854312,1.958180723
-1.067136188,5.476103326,1.96928056
-1.049922181,5.474074124,2.084262079
-1.044438675,5.475782757,2.367729397
-1.052964146,5.491015381,2.877979817
-1.071923903,5.525117954,3.628448343
-1.105163025,5.583158305,4.574343545
-1.167213079,5.668266828,5.627396019
-1.271233044,5.773510036,6.696177574
-1.411397515,5.881374929,7.711625001
-1.560408661,5.971984251,8.589679734
-1.680239176,6.031766479,9.171242162
-1.73670877,6.052701191,9.250268932
-1.710241085,6.027638864,8.722257169
-1.601843371,5.95549034,7.701967955
-1.437396392,5.85034444,6.468655979
-1.259845064,5.741240578,5.298129118
-1.110541601,5.656360901,4.344548922
-1.010214748,5.60567415,3.639469159
-0.955629604,5.580862025,3.141028794
-0.934784551,5.569779412,2.782805506
-0.938233469,5.568564325,2.513111541
-0.958453745,5.577767411,2.313105098
-0.981412834,5.593697448,2.187534196
-0.987713106,5.610265353,2.149402997
-0.968259633,5.627220881,2.224336325
-0.933175776,5.652254212,2.455236523
-0.903406388,5.691590466,2.888280037
-0.893261978,5.741637166,3.54582566
-0.906486553,5.792978049,4.397855339
-0.945689068,5.84169417,5.35335868
-1.018366656,5.892538235,6.295433397
-1.129834866,5.950509846,7.152471165
-1.271204765,6.013546308,7.933621237
-1.421223049,6.074085032,8.670449177
-1.555974663,6.124576931,9.310703152
-1.65408886,6.15627299,9.679105206
-1.695223872,6.15604128,9.576730281
-1.663744943,6.112099667,8.94355352
-1.563668664,6.026196993,7.926239702
-1.424380759,5.918172653,6.783172978
-1.285157614,5.813602436,5.72599663
-1.170584141,5.727266775,4.841150866
-1.083225733,5.65983408,4.117603135
-1.018090469,5.607796016,3.519135022
-0.974919916,5.571764216,3.030590849
-0.955822924,5.551746312,2.655006325
-0.955105466,5.541161198,2.386658993
-0.960616865,5.531360724,2.204103546
-0.965183881,5.520978925,2.089286921
-0.970106936,5.517308776,2.040808233
-0.976922606,5.526631626,2.074950824
-0.980635348,5.547436286,2.228010764
-0.977948997,5.574569775,2.55468478
-0.97783595,5.607877131,3.103786288
-1.000007381,5.652356028,3.880648548
-1.060726224,5.709866449,4.828810848
-1.162785407,5.774798224,5.852140722
-1.29901286,5.838394774,6.855930379
-1.454242553,5.894460251,7.742658059
-1.601789272,5.936765786,8.361381943
-1.701783931,5.954190875,8.518392019
-1.716709436,5.934112544,8.097961392
-1.638353603,5.872877504,7.177666028
-1.495842685,5.782114146,5.996954004
-1.336093983,5.681650037,4.819392447
-1.194238453,5.587952094,3.824476827
-1.084780673,5.510000355,3.077958654
-1.013034792,5.453477418,2.558062774
