Image,Registration Status,X,Y,Z
0,success,0.0,5.704264429658038,2.2732068964919603
1,success,-1.0972751928779751,5.704264429658038,2.147872452532336
2,success,-1.0972751928779751,5.72052951886795,2.2117035568177976
3,success,-1.031394478472145,5.72052951886795,2.5125400821385813
4,success,-1.031394478472145,5.8438200834654115,3.227945480202604
5,success,-0.9907113625274889,5.8438200834654115,4.211396096348782
6,success,-0.9907113625274889,5.942540886083517,5.48627172022208
7,success,-1.1217139073020486,5.942540886083517,6.643298088867525
8,success,-1.1217139073020486,6.041177280710956,8.093778839616851
9,success,-1.4714201495890002,6.041177280710956,8.954761274642859
10,success,-1.4714201495890002,6.087967540424617,9.873715826839625
11,success,-1.7196567102570055,6.087967540424617,9.688724074918577
12,success,-1.7196567102570055,6.020348732650153,9.062250590381964
13,success,-1.623644381271808,6.020348732650153,7.533386685008731
14,success,-1.623644381271808,5.86920700460706,6.100682258403691
15,success,-1.3295010585875062,5.86920700460706,4.756565610955152
16,success,-1.3295010585875062,5.720722312351434,3.7453887803094337
17,success,-1.135672720631515,5.720722312351434,3.1049066105958136
18,success,-1.135672720631515,5.659193638797179,2.5739603398395436
19,success,-1.0714275504318296,5.659193638797179,2.357328270176141
20,success,-1.0714275504318296,5.674456977797698,2.382424654754785
21,success,-1.0232996919784585,5.674456977797698,2.78328609571014
22,success,-1.0232996919784585,5.801464894968723,3.5399525357469623
23,success,-1.053681747500737,5.801464894968723,4.591148863249941
24,success,-1.053681747500737,5.903482143336015,5.846701793352559
25,success,-1.218833597864695,5.903482143336015,7.026291264544427
26,success,-1.218833597864695,5.952343220566728,8.255352363330715
27,success,-1.4360613380704252,5.952343220566728,8.777980450206714
28,success,-1.4360613380704252,5.9692736749611255,9.009522515462606
29,success,-1.4960088077971079,5.9692736749611255,8.194509958873262
30,success,-1.4960088077971079,5.849226204057283,7.075459466084643
31,success,-1.299613826362051,5.849226204057283,5.569543449597291
32,success,-1.299613826362051,5.735229141622053,4.350649602627345
33,success,-1.0938516229650619,5.735229141622053,3.430522807221538
34,success,-1.0938516229650619,5.703402897422913,2.747563105068117
35,success,-1.0413856054236243,5.703402897422913,2.3321758063985025
36,success,-1.0413856054236243,5.650068906392111,2.0021061459011706
37,success,-1.0564250091246923,5.650068906392111,1.8392169101380342
38,success,-1.0564250091246923,5.656315180528721,1.919515392886817
39,success,-1.03595585490583,5.656315180528721,2.314224319343615
40,success,-1.03595585490583,5.758790847861418,3.0204589206078554
41,success,-0.9889594419970748,5.758790847861418,4.040292550264912
42,success,-0.9889594419970748,5.874162073580628,5.267320539946968
43,success,-1.0484088077310865,5.874162073580628,6.254203138146138
44,success,-1.0484088077310865,5.9880516389975975,7.1327303668680395
45,success,-1.174098721507563,5.9880516389975975,7.209682878104344
46,success,-1.174098721507563,5.959380772742819,6.767559405411001
47,success,-1.255407893785543,5.959380772742819,5.63949510208427
48,success,-1.255407893785543,5.772076453814393,4.553688159241521
49,success,-1.1988793203285935,5.772076453814393,3.495404125192038
50,success,-1.1988793203285935,5.646937460166833,2.6653081165415093
51,success,-1.1432560705518109,5.646937460166833,2.2141017474884577
52,success,-1.1432560705518109,5.558379442371507,1.8104555483916784
53,success,-1.114310037850637,5.558379442371507,1.6875700213588698
54,success,-1.114310037850637,5.527897226750986,1.621077088294109
55,success,-1.0432581899177193,5.527897226750986,1.9764408382815875
56,success,-1.0432581899177193,5.620235476586603,2.483130819550438
57,success,-1.0125129051537727,5.620235476586603,3.3805479139542407
58,success,-1.0125129051537727,5.794302285955145,4.477015702826917
59,success,-1.1063980671096703,5.794302285955145,5.537337766026438
60,success,-1.1063980671096703,5.9624301124324015,6.7223102780874555
61,success,-1.2976937498159904,5.9624301124324015,7.515009990953609
