X,Y,Z
4.134440981,-2.331652934,-4.668441213
4.103796458,-2.339463926,-4.200319317
4.074024509,-2.347217735,-3.742748681
4.04942567,-2.351237294,-3.453349199
4.035191869,-2.352049773,-3.465945364
4.042962352,-2.348284136,-3.763305865
4.07216243,-2.337760099,-4.193108799
4.100516193,-2.323723467,-4.613763425
4.10981844,-2.313236044,-4.970264423
4.107927983,-2.308173527,-5.245093866
4.11113793,-2.302746648,-5.419060762
4.119946196,-2.291053223,-5.500106964
4.126415125,-2.272879326,-5.521124534
4.131875231,-2.25056973,-5.479858561
4.14188878,-2.225170419,-5.321272818
4.151520545,-2.198540999,-5.000505268
4.148410967,-2.174900088,-4.529042695
4.125707868,-2.158338176,-3.952577576
4.085555271,-2.151274001,-3.344992631
4.037086707,-2.156456502,-2.854769888
3.99614882,-2.176407034,-2.67936958
3.98038875,-2.205785661,-2.916885165
3.996203343,-2.229084501,-3.462985898
4.030712471,-2.232741043,-4.097829159
4.061317128,-2.218039214,-4.649471546
4.073667314,-2.198782075,-5.051339241
4.070795719,-2.187637801,-5.304623658
4.066438965,-2.188842503,-5.442203531
4.070008013,-2.200936513,-5.496162458
4.078885041,-2.220491876,-5.455821969
4.084178299,-2.242735054,-5.266213906
4.079724866,-2.261515134,-4.887760565
4.063786192,-2.27198262,-4.343179989
4.034834751,-2.272853714,-3.6974326
3.990635351,-2.266012212,-3.034162791
3.936217537,-2.256840988,-2.485701104
3.891185006,-2.253330927,-2.245622123
3.881997711,-2.260891941,-2.461967212
3.91988601,-2.277157222,-3.086294023
3.987769046,-2.294447792,-3.873643472
4.054315639,-2.308259807,-4.56468429
4.099197578,-2.320318098,-5.045657138
4.123697597,-2.333171729,-5.333661572
4.140150272,-2.344927176,-5.457988938
4.154454435,-2.351555001,-5.396529822
4.160785846,-2.352754347,-5.109189271
4.151498768,-2.351932526,-4.595600708
4.126871457,-2.350473027,-3.919126589
4.09229631,-2.345562261,-3.222534303
4.053907912,-2.335002609,-2.721668198
4.022903415,-2.321437241,-2.613843857
4.013607997,-2.310972225,-2.923878046
4.02757813,-2.30908967,-3.475329992
4.048634667,-2.316956699,-4.051989863
4.063623946,-2.329907743,-4.552168533
4.077560588,-2.339676448,-4.967154203
4.098845687,-2.340673086,-5.286338609
4.122268342,-2.335145809,-5.48606235
4.138402007,-2.330566753,-5.55938477
4.148208892,-2.331969239,-5.493682477
4.155738858,-2.338833407,-5.249880656
4.15468479,-2.34773297,-4.80565449
4.133851916,-2.353684359,-4.191231474
4.091114826,-2.349644706,-3.46286582
4.034918916,-2.331109643,-2.700565718
3.978981024,-2.30449416,-2.076593976
3.940249476,-2.285585913,-1.838011096
3.934606122,-2.284935456,-2.120422681
3.965807482,-2.297652759,-2.798039829
4.019065821,-2.310785148,-3.585412059
4.070937092,-2.317072932,-4.262832816
4.105852822,-2.316418986,-4.761878471
4.12355165,-2.308708696,-5.085399314
4.133373268,-2.290719734,-5.231823769
4.142661963,-2.259497369,-5.181997132
4.15051127,-2.216635267,-4.909808358
4.150596332,-2.168393082,-4.401413373
4.137081982,-2.126090084,-3.69865449
4.107361316,-2.104708595,-2.944932356
4.066601539,-2.115027926,-2.378711055
4.033602808,-2.155341493,-2.231632214
4.032768961,-2.210975252,-2.576050551
4.070861279,-2.263298334,-3.254345487
4.127463503,-2.299054742,-3.986918658
4.176609489,-2.314454041,-4.565080232
4.210015394,-2.31457661,-4.945023732
4.233153435,-2.308485875,-5.180344433
4.249600763,-2.303763312,-5.295792781
4.259129814,-2.303084975,-5.240155222
4.26199628,-2.306616886,-4.947084421
4.254484443,-2.316080446,-4.416069278
4.227720772,-2.332748708,-3.73174155
4.180186887,-2.353286315,-3.043279877
4.127523573,-2.371007833,-2.546929075
4.092772686,-2.382526926,-2.434649582
4.093375442,-2.39080611,-2.766722736
4.140408962,-2.400156237,-3.392111624
4.230414531,-2.411569728,-4.053118952
4.327539054,-2.424906562,-4.581991233
4.3764967,-2.442390295,-4.963494911
4.35646833,-2.465661552,-5.239240011
4.306564313,-2.489873339,-5.42285161
4.277650284,-2.505867077,-5.499770932
4.278037107,-2.508681037,-5.440759004
4.283221147,-2.500535523,-5.203024131
4.275600996,-2.485560143,-4.758853466
4.253096866,-2.465790412,-4.135870225
4.216415272,-2.444133274,-3.431104996
4.17120592,-2.426203563,-2.812976258
4.134186617,-2.416437859,-2.492013167
4.120972079,-2.415142529,-2.610594202
4.132936209,-2.421444776,-3.120040875
4.16263466,-2.436528865,-3.801486306
4.20239332,-2.460310531,-4.431873032
4.241155318,-2.487753345,-4.909237222
4.260586293,-2.511112264,-5.23951116
4.245357351,-2.524675742,-5.46398853
4.197383547,-2.52605992,-5.610961221
4.134969247,-2.515361016,-5.675231785
4.079526619,-2.495324095,-5.61962808
4.042875598,-2.469884696,-5.400288652
4.023031521,-2.440579832,-4.993217354
4.009179509,-2.406129397,-4.406964072
3.990471864,-2.36789288,-3.700864655
3.963332458,-2.332870868,-3.010253155
3.934994727,-2.309151643,-2.533035558
3.92127743,-2.300861209,-2.444815525
3.936640504,-2.308349484,-2.778923889
3.980760415,-2.329623258,-3.378218538
4.036079953,-2.358079924,-3.997131597
4.081955924,-2.382974686,-4.475959352
4.109302344,-2.395896854,-4.812357413
4.120745407,-2.395604148,-5.064005305
4.122174133,-2.386122158,-5.222299041
4.117954239,-2.372562168,-5.209864049
4.110216396,-2.359690687,-4.96819338
4.09731157,-2.349643316,-4.502692342
4.074815795,-2.338888749,-3.866953756
4.041770093,-2.321438603,-3.17594105
4.006106163,-2.299359239,-2.638837197
3.982158984,-2.286277118,-2.484705647
3.981083493,-2.29447802,-2.781067944
4.002362653,-2.32136252,-3.361719563
4.033521761,-2.352070578,-3.969310792
4.059083583,-2.372902977,-4.447051177
4.072376974,-2.378357617,-4.781303559
4.08042659,-2.368941681,-5.018687731
4.095573324,-2.348861538,-5.181060441
4.120209422,-2.325501798,-5.227741714
4.141923717,-2.306329086,-5.075700632
4.145791709,-2.293305128,-4.672201318
4.127241282,-2.282144099,-4.047432637
4.090677194,-2.267821895,-3.295335422
4.044188584,-2.248469605,-2.543131645
4.00119342,-2.225026042,-1.972633748
3.979297625,-2.201418127,-1.799512551
3.987518703,-2.185300824,-2.128606804
4.018301178,-2.184682148,-2.819837016
4.058264701,-2.201062816,-3.571398346
4.099610891,-2.228622656,-4.153423983
4.136621202,-2.261802592,-4.528563612
4.16167163,-2.299924534,-4.769443721
4.173853929,-2.342552828,-4.932883774
4.182558559,-2.382494703,-5.025004502
4.192366617,-2.408271901,-5.0189906
4.193967265,-2.414107602,-4.865832922
4.179470045,-2.403422964,-4.512876514
4.154239499,-2.384401899,-3.944123236
4.123427886,-2.365808703,-3.235642298
4.083308928,-2.35638063,-2.590121789
4.039521354,-2.361846697,-2.275984865
4.017386998,-2.378850666,-2.447812546
4.036051808,-2.39614129,-3.008895653
4.082809622,-2.404116055,-3.692672916
4.127841014,-2.401794065,-4.270373828
4.15403349,-2.393560738,-4.652759072
4.162284462,-2.383161888,-4.842566823
4.158441039,-2.373508501,-4.87334158
4.146802488,-2.367413479,-4.768423753
4.131668821,-2.364070288,-4.506087913
4.115669948,-2.357428351,-4.039765454
4.096998134,-2.342322458,-3.395547956
4.071834459,-2.321116387,-2.737923913
4.041651683,-2.302369575,-2.309272152
4.017996262,-2.294448233,-2.289601187
4.014857186,-2.301730289,-2.683953346
4.032821629,-2.323532102,-3.314933967
4.057230057,-2.352311703,-3.942894005
4.077296245,-2.375630911,-4.422655157
4.09720117,-2.385314109,-4.757691676
4.12104557,-2.384913874,-5.012483675
4.139113101,-2.384821186,-5.196406077
4.140466944,-2.390485536,-5.240848913
4.128421882,-2.398327388,-5.0657894
4.111703815,-2.401487569,-4.651344536
4.089744969,-2.396990452,-4.054025435
4.057626077,-2.38756948,-3.38223903
4.019505,-2.3788643,-2.785778967
