Image,Registration Status,X,Y,Z
0,success,0,-0.071827923,11.98643288
1,success,0.090359983,-0.071827923,12.6025571
2,success,0.090359983,-0.094523322,11.26019568
3,success,0.08903337,-0.094523322,12.1441408
4,success,0.08903337,-0.139342198,10.95538226
5,success,0.063733616,-0.139342198,12.2725623
6,success,0.063733616,-0.151932429,11.63203541
7,success,0.032738929,-0.151932429,13.14401474
8,success,0.032738929,-0.107129141,13.00426915
9,success,-0.114038385,-0.107129141,15.08681823
10,success,-0.114038385,-0.097290729,14.65020099
11,success,-0.252586708,-0.097290729,15.88882653
12,success,-0.252586708,-0.154588283,14.2985993
13,success,-0.216248326,-0.154588283,14.55543334
14,success,-0.216248326,-0.204846754,12.60585704
15,success,-0.095070458,-0.204846754,12.98955032
16,success,-0.095070458,-0.216762572,11.55981988
17,success,-0.026830439,-0.216762572,12.33383331
18,success,-0.026830439,-0.221652547,11.038559
19,success,-0.003950118,-0.221652547,12.20058119
20,success,-0.003950118,-0.241150748,11.34755689
21,success,-0.047737269,-0.241150748,12.87013616
22,success,-0.047737269,-0.245743072,12.4691364
23,success,-0.140780362,-0.245743072,14.35939839
24,success,-0.140780362,-0.207509804,14.20155554
25,success,-0.286246989,-0.207509804,15.93632322
26,success,-0.286246989,-0.20801652,14.81553305
27,success,-0.330508004,-0.20801652,15.38569632
28,success,-0.330508004,-0.286443522,13.1805966
29,success,-0.235866297,-0.286443522,13.32038281
30,success,-0.235866297,-0.341611959,11.85614693
31,success,-0.186039525,-0.341611959,12.54650598
32,success,-0.186039525,-0.393969646,11.13445485
33,success,-0.181505996,-0.393969646,12.18357975
34,success,-0.181505996,-0.423207327,10.99702818
35,success,-0.161753607,-0.423207327,12.39656205
36,success,-0.161753607,-0.378353864,11.71732839
37,success,-0.139365726,-0.378353864,13.27323801
38,success,-0.139365726,-0.290631002,13.09487443
39,success,-0.21306191,-0.290631002,15.06984494
40,success,-0.21306191,-0.275617536,14.18018059
41,success,-0.264267553,-0.275617536,15.16875483
42,success,-0.264267553,-0.289801961,13.20964822
43,success,-0.173473848,-0.289801961,13.3449966
44,success,-0.173473848,-0.31839387,11.8527238
45,success,-0.118689232,-0.31839387,12.48822063
46,success,-0.118689232,-0.311430531,11.04572939
47,success,-0.056784359,-0.311430531,12.0175781
48,success,-0.056784359,-0.289983803,10.66158725
49,success,-0.027628156,-0.289983803,11.837933
50,success,-0.027628156,-0.263071773,10.70421594
51,success,-0.003369829,-0.263071773,12.16421972
52,success,-0.003369829,-0.199677612,11.52995916
53,success,0.025490597,-0.199677612,13.0774735
54,success,0.025490597,-0.097875142,12.85536177
55,success,-0.001905399,-0.097875142,14.82916779
56,success,-0.001905399,0.000761851,14.40322825
57,success,-0.086758756,0.000761851,15.66391099
58,success,-0.086758756,0,14
59,success,0,0,14
60,success,0,-0.076143703,12.32790413
61,success,0.048647695,-0.076143703,12.69784257
62,success,0.048647695,-0.123151792,11.19630044
63,success,0.103246463,-0.123151792,12.00750889
64,success,0.103246463,-0.108190664,10.6311551
65,success,0.13392753,-0.108190664,11.73287227
66,success,0.13392753,-0.08311745,10.63614434
67,success,0.182600487,-0.08311745,12.16715086
68,success,0.182600487,-0.038186239,11.67924826
69,success,0.153048736,-0.038186239,13.25336239
70,success,0.153048736,0.023935087,13.21110146
71,success,0.033615011,0.023935087,15.14708746
72,success,0.033615011,0.056397411,14.22388953
73,success,-0.029172185,0.056397411,14.94317245
74,success,-0.029172185,0.001032634,12.99310461
75,success,0.044140672,0.001032634,13.13889216
76,success,0.044140672,-0.038081222,11.668741
77,success,0.084109191,-0.038081222,12.27978241
78,success,0.084109191,-0.02391671,10.8571526
79,success,0.11895659,-0.02391671,11.83654176
80,success,0.11895659,-0.011193433,10.55640183
81,success,0.1440996,-0.011193433,11.79750243
82,success,0.1440996,0.005405164,10.89119826
83,success,0.161761245,0.005405164,12.5008596
84,success,0.161761245,0.025942657,12.11186865
85,success,0.112223898,0.025942657,13.69019266
86,success,0.112223898,0.067621393,13.6389908
87,success,0.010154977,0.067621393,15.3550662
88,success,0.010154977,0.085395283,14.09899277
89,success,0.027710279,0.085395283,14.58590896
90,success,0.027710279,0.050151363,12.70863199
91,success,0.118642819,0.050151363,13.01397476
92,success,0.118642819,0.022554369,11.54425545
93,success,0.151581679,0.022554369,12.21967028
94,success,0.151581679,0.004946164,10.79233011
95,success,0.143920801,0.004946164,11.80461873
96,success,0.143920801,-0.025525541,10.60450056
97,success,0.139034817,-0.025525541,11.98473899
98,success,0.139034817,-0.04874219,11.29746085
99,success,0.11691844,-0.04874219,12.88398096
100,success,0.11691844,-0.059244747,12.54807188
101,success,0.036110935,-0.059244747,14.1549516
102,success,0.036110935,-0.065904195,13.65037421
103,success,-0.050258189,-0.065904195,14.69501629
104,success,-0.050258189,-0.065085814,13.10742293
105,success,0.040401158,-0.065085814,13.28261569
106,success,0.040401158,-0.080576966,11.89007274
107,success,0.071633161,-0.080576966,12.43969694
108,success,0.071633161,-0.115579874,10.99424312
109,success,0.096487268,-0.115579874,11.90159993
110,success,0.096487268,-0.100661913,10.5663574
111,success,0.115991181,-0.100661913,11.69324249
112,success,0.115991181,-0.059027372,10.56899931
113,success,0.132717415,-0.059027372,11.99901142
114,success,0.132717415,-0.007863879,11.31498066
115,success,0.084790116,-0.007863879,12.84434574
116,success,0.084790116,0.020254846,12.45331149
117,success,0.012474225,0.020254846,14.06147596
118,success,0.012474225,0.04345707,13.79461404
119,success,-0.088485719,0.04345707,15.23732603
120,success,-0.088485719,0.015147493,13.73686817
121,success,-0.031056889,0.015147493,13.94842338
122,success,-0.031056889,-0.053391237,12.42705751
123,success,0.002689766,-0.053391237,12.86629514
124,success,0.002689766,-0.093948287,11.48401645
125,success,0.022150741,-0.093948287,12.22650502
126,success,0.022150741,-0.042894416,10.88505623
