X,Y,Z
5.899160391,-5.894500556,4.891729625
6.018854235,-5.974515043,5.321946681
6.156176666,-6.102511565,5.830298506
6.280985701,-6.263261962,6.323392906
6.375559513,-6.426691477,6.750121781
6.437588157,-6.565488775,7.100745298
6.475501229,-6.666883285,7.391374403
6.502196177,-6.734050687,7.637300317
6.530177139,-6.776948607,7.841850113
6.566907681,-6.800531838,8.007114967
6.613483016,-6.805479009,8.140171206
6.664335315,-6.793471933,8.253028616
6.706780474,-6.76695178,8.347163014
6.725041836,-6.722703086,8.400320043
6.698825417,-6.650520892,8.359386477
6.604730396,-6.53636085,8.151070415
6.423558327,-6.372198894,7.713027984
6.128183904,-6.165368016,7.040263483
5.679294361,-5.938171387,6.194841921
5.039138652,-5.719301966,5.279223899
4.197582901,-5.532648581,4.432778346
3.208517987,-5.39082613,3.777328152
2.199853377,-5.29612765,3.374232871
1.359611199,-5.244682681,3.232204856
0.881231981,-5.233611729,3.308510098
0.890861008,-5.266678489,3.533894224
1.402411932,-5.351986948,3.845467641
2.309248071,-5.495123777,4.216164453
3.415154098,-5.691539971,4.653504459
4.490875417,-5.920905989,5.168335224
5.354783709,-6.147354577,5.731900974
5.923712875,-6.329680284,6.275237193
6.210868988,-6.435418649,6.717095854
6.28966076,-6.444916428,6.963194631
6.240556384,-6.350924917,6.949044516
6.098903259,-6.157945388,6.675047427
5.82828302,-5.88125414,6.164596807
5.350562519,-5.547287971,5.44112203
4.603141583,-5.19356178,4.566741662
3.596671694,-4.862770289,3.629074365
2.445896836,-4.589651831,2.726174177
1.342658603,-4.391312753,2.006169382
0.47760874,-4.265345882,1.605116817
-0.041314468,-4.197466,1.567829697
-0.198349108,-4.171066349,1.828477446
-0.023580183,-4.17627146,2.232909589
0.453779619,-4.217032465,2.622790349
1.21281822,-4.306126974,2.926208348
2.20898075,-4.458238267,3.180096712
3.334237448,-4.682497953,3.492686276
4.421327547,-4.973442242,3.96890023
5.311305474,-5.308767578,4.607745828
5.918678668,-5.653083608,5.320136949
6.254321333,-5.96679161,6.001850964
6.39381756,-6.214602331,6.550392543
6.424910058,-6.37252858,6.920265847
6.412839263,-6.432797566,7.117837316
6.380765865,-6.399377501,7.140924328
6.322492036,-6.279118435,6.970363164
6.208124083,-6.078906001,6.598613833
5.979437207,-5.808998985,6.04394913
5.569286735,-5.488360013,5.342798112
4.931029201,-5.149996623,4.574945579
4.079864174,-4.836745775,3.828366096
3.111519368,-4.585772123,3.162814646
2.175852603,-4.414787775,2.649571231
1.416050766,-4.31835111,2.348348257
0.909585728,-4.277350376,2.273128631
0.672163984,-4.271442275,2.395825179
0.703321302,-4.289795758,2.646177739
1.020121046,-4.337613783,2.943595212
1.645627096,-4.429682949,3.245394355
2.557540339,-4.581149742,3.559395754
3.64142177,-4.7986419,3.929778865
4.704354551,-5.072129796,4.403503356
5.561854488,-5.376504863,4.962711292
6.120826901,-5.679654055,5.541767696
6.403757509,-5.952670565,6.078986381
6.5047872,-6.176190363,6.510212468
6.52053468,-6.340400272,6.808958622
6.511712773,-6.442761321,6.991551082
6.494197121,-6.48038346,7.064321686
6.462686953,-6.443311514,7.017045763
6.409881547,-6.318126833,6.824147403
6.320012889,-6.09732318,6.452100658
6.16995064,-5.790178945,5.882022657
5.919161059,-5.430348946,5.159975376
5.514982664,-5.065485266,4.394944108
4.914724281,-4.734251675,3.709484861
4.112335195,-4.44988087,3.224414504
3.168064656,-4.209778917,3.021261849
2.210222085,-4.021903027,3.133467936
1.420087873,-3.920194303,3.55385519
0.983129179,-3.952335055,4.217683761
1.02309494,-4.144062219,4.989981298
1.557732651,-4.46701827,5.680974541
2.484144976,-4.843583971,6.130045889
3.604118041,-5.190999638,6.294970118
4.681922634,-5.464420852,6.277334385
5.531975131,-5.669867953,6.239293327
6.075974889,-5.842770073,6.306068813
6.343454728,-6.012288313,6.518035421
6.429276616,-6.184185772,6.817380683
6.430219301,-6.344848014,7.122139335
6.412021901,-6.478282898,7.383548312
6.399033767,-6.580571996,7.587926571
6.393649215,-6.656783346,7.74177809
6.399607782,-6.714421672,7.854710199
6.418919327,-6.759249988,7.938906587
6.449000418,-6.79297157,8.004750337
6.482747963,-6.814763807,8.058841452
6.512171682,-6.820988252,8.099931343
6.53231808,-6.802896701,8.114524993
6.540424227,-6.749138149,8.072523466
6.532954333,-6.645593522,7.929526159
6.504186749,-6.478777033,7.641055089
6.444884097,-6.243043748,7.175583572
6.34572008,-5.944761956,6.536466806
6.203365444,-5.605607892,5.777829598
6.028543118,-5.260770151,4.997118163
5.850278253,-4.954271652,4.313242044
