Image,Registration Status,X,Y,Z
0,success,0,-5.065042548,2.920640718
1,success,5.899160391,-5.065042548,5.994780248
2,success,5.899160391,-6.087202639,2.984783651
3,success,6.028880602,-6.087202639,6.25973468
4,success,6.028880602,-7.03919764,3.215468263
5,success,6.074307076,-7.03919764,6.551747093
6,success,6.074307076,-7.700386753,3.411945431
7,success,6.065721219,-7.700386753,6.724003434
8,success,6.065721219,-8.173975096,3.485799817
9,success,6.078403722,-8.173975096,6.795287835
10,success,6.078403722,-8.488407454,3.458191627
11,success,6.142979005,-8.488407454,6.789638868
12,success,6.142979005,-8.712123917,3.351545212
13,success,6.181526898,-8.712123917,6.722703086
14,success,6.181526898,-8.722916238,3.231869685
15,success,6.096357321,-8.722916238,6.532371556
16,success,6.096357321,-8.015436912,3.118084089
17,success,5.775988634,-8.015436912,6.160320132
18,success,5.775988634,-6.384780729,3.10405544
19,success,4.910515164,-6.384780729,5.740457213
20,success,4.910515164,-4.456681417,3.5816542
21,success,3.206002805,-4.456681417,5.422784325
22,success,3.206002805,-3.24604687,4.589863761
23,success,1.405352363,-3.24604687,5.284352542
24,success,1.405352363,-3.107086635,5.456226956
25,success,0.938241115,-3.107086635,5.299224216
26,success,0.938241115,-3.657300255,5.230838572
27,success,2.28897235,-3.657300255,5.519442598
28,success,2.28897235,-4.557867874,4.187526912
29,success,4.386322823,-4.557867874,5.947276605
30,success,4.386322823,-5.913437376,3.527519531
31,success,5.686417226,-5.913437376,6.320894313
32,success,5.686417226,-6.982236598,3.334327738
33,success,5.94671769,-6.982236598,6.432545089
34,success,5.94671769,-7.205523338,3.221691928
35,success,5.802581949,-7.205523338,6.157135002
36,success,5.802581949,-6.357992825,2.946280013
37,success,5.207254976,-6.357992825,5.555787988
38,success,5.207254976,-4.616105155,2.990835399
39,success,3.606751605,-4.616105155,4.894842546
40,success,3.606751605,-2.536958407,3.722161447
41,success,1.472056519,-2.536958407,4.466971179
42,success,1.472056519,-1.400206344,4.752590084
43,success,0.117475333,-1.400206344,4.294497422
44,success,0.117475333,-1.676153354,5.161252757
45,success,0.07761423,-1.676153354,4.246970652
46,success,0.07761423,-2.329945732,4.747534003
47,success,1.292025972,-2.329945732,4.364592366
48,success,1.292025972,-3.040617358,3.73493648
49,success,3.350127011,-3.040617358,4.721426646
50,success,3.350127011,-4.049838082,2.851116829
51,success,5.25256776,-4.049838082,5.320052418
52,success,5.25256776,-5.533476699,2.700362621
